column,role,phase3_action
attack,label,exclude_from_features
category,label,exclude_from_features
subcategory,label,exclude_from_features
pkSeqID,identifier,exclude_from_features
seq,identifier,exclude_from_features
daddr,network_identifier,exclude_from_features
dport,network_identifier,exclude_from_features
saddr,network_identifier,exclude_from_features
sport,network_identifier,exclude_from_features
proto,categorical_feature,one_hot_encode
stddev,numeric_feature,scale_or_passthrough
N_IN_Conn_P_SrcIP,numeric_feature,scale_or_passthrough
min,numeric_feature,scale_or_passthrough
state_number,numeric_feature,scale_or_passthrough
mean,numeric_feature,scale_or_passthrough
N_IN_Conn_P_DstIP,numeric_feature,scale_or_passthrough
drate,numeric_feature,scale_or_passthrough
srate,numeric_feature,scale_or_passthrough
max,numeric_feature,scale_or_passthrough
